RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005
"","","","","","","","","","","",""
I,I,P,P,V,V,R,R,Wh,Wh,Ah,Ah
Time I [A DC],I [A DC],Time P [W],P [W],Time V [V DC],V [V DC],Time R [Ω],R [Ω],Time Wh [Wh],Wh [Wh],Time Ah [Ah],Ah [Ah]
34.6310,0,34.6310,0,34.6310,0,34.6310,-1.79769e+308,34.6310,0,34.6310,0
35.0210,0,35.0210,0,35.0210,0,35.0210,-1.79769e+308,35.0210,0,35.0210,0
35.4090,0,35.4090,0,35.4090,0,35.4090,-1.79769e+308,35.4090,0,35.4090,0
35.7990,0,35.7990,0,35.7990,0,35.7990,-1.79769e+308,35.7990,0,35.7990,0
36.1880,0,36.1880,0,36.1880,0,36.1880,-1.79769e+308,36.1880,0,36.1880,0
36.5770,0,36.5770,0,36.5770,0,36.5770,-1.79769e+308,36.5770,0,36.5770,0
36.9660,0,36.9660,0,36.9660,0,36.9660,-1.79769e+308,36.9660,0,36.9660,0
37.3560,0,37.3560,0,37.3560,0,37.3560,-1.79769e+308,37.3560,0,37.3560,0
37.7450,0,37.7450,0,37.7450,0,37.7450,-1.79769e+308,37.7450,0,37.7450,0
38.1340,0,38.1340,0,38.1340,0,38.1340,-1.79769e+308,38.1340,0,38.1340,0
38.5230,0,38.5230,0,38.5230,0,38.5230,-1.79769e+308,38.5230,0,38.5230,0
38.9130,0,38.9130,0,38.9130,0,38.9130,-1.79769e+308,38.9130,0,38.9130,0
39.3020,0,39.3020,0,39.3020,0,39.3020,-1.79769e+308,39.3020,0,39.3020,0
39.6910,0,39.6910,0,39.6910,0,39.6910,-1.79769e+308,39.6910,0,39.6910,0
40.0800,0,40.0800,0,40.0800,0,40.0800,-1.79769e+308,40.0800,0,40.0800,0
40.4690,0,40.4690,0,40.4690,0,40.4690,-1.79769e+308,40.4690,0,40.4690,0
40.8590,0,40.8590,0,40.8590,0,40.8590,-1.79769e+308,40.8590,0,40.8590,0
41.2480,0,41.2480,0,41.2480,0,41.2480,-1.79769e+308,41.2480,0,41.2480,0
41.6370,0,41.6370,0,41.6370,0,41.6370,-1.79769e+308,41.6370,0,41.6370,0
42.0260,0,42.0260,0,42.0260,0,42.0260,-1.79769e+308,42.0260,0,42.0260,0
42.4150,0,42.4150,0,42.4150,0,42.4150,-1.79769e+308,42.4150,0,42.4150,0
42.8040,0,42.8040,0,42.8040,0,42.8040,-1.79769e+308,42.8040,0,42.8040,0
43.1940,0,43.1940,0,43.1940,0,43.1940,-1.79769e+308,43.1940,0,43.1940,0
